date,tag,team,kind,market,open_ml,close_ml,clv_pts,won,profit_1u,slip_id,slip_odds,slip_result,joint_prob,correlation,line,edge_pct,home,away,pick,pitcher,home_pitcher,away_pitcher,odds,model_prob,edge,qualifies,timestamp,kelly_stake_pct,abbr_home,abbr_away,abbr_pick,c_team_edge,c_pitcher_fip_edge,c_pitcher_era_edge,c_pitcher_whip_edge,c_pitcher_k9_edge,c_offense_edge,c_bullpen_edge,c_season_form_edge,c_h2h_edge,c_weather_edge,c_rest_edge,c_lineup_edge,c_injury_edge,c_fatigue_edge,slip_leg_num,slip_leg_count
2026-07-09,,,,,,,,,,,,,,,,,Baltimore Orioles,Kansas City Royals,Baltimore Orioles,,TBD,TBD,-154.0,82.5,21.9,,2026-07-09T19:51:24.463144,,BAL,KC,BAL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Cincinnati Reds,Chicago Cubs,Chicago Cubs,TBD,TBD,TBD,108.0,83.2,35.1,True,2026-07-09T19:51:27.509107,16.9,CIN,CHC,CHC,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Cincinnati Reds,Chicago Cubs,Chicago Cubs,,TBD,TBD,108.0,83.2,35.1,,2026-07-09T19:51:27.515675,,CIN,CHC,CHC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Miami Marlins,Cleveland Guardians,Miami Marlins,TBD,TBD,TBD,-110.0,93.2,40.9,True,2026-07-09T19:51:30.229045,21.45,MIA,CLE,MIA,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Miami Marlins,Cleveland Guardians,Miami Marlins,,TBD,TBD,-110.0,93.2,40.9,,2026-07-09T19:51:30.235676,,MIA,CLE,MIA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Tampa Bay Rays,Seattle Mariners,Tampa Bay Rays,TBD,TBD,TBD,-108.0,81.4,29.5,True,2026-07-09T19:51:33.592068,15.35,TB,SEA,TB,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Tampa Bay Rays,Seattle Mariners,Tampa Bay Rays,,TBD,TBD,-108.0,81.4,29.5,,2026-07-09T19:51:33.598585,,TB,SEA,TB,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,New York Mets,Boston Red Sox,Boston Red Sox,TBD,TBD,TBD,136.0,67.6,25.2,True,2026-07-09T19:51:37.629777,10.95,NYM,BOS,BOS,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,New York Mets,Boston Red Sox,Boston Red Sox,,TBD,TBD,136.0,67.6,25.2,,2026-07-09T19:51:37.636328,,NYM,BOS,BOS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Chicago White Sox,Athletics,Chicago White Sox,TBD,TBD,TBD,-146.0,95.9,36.6,True,2026-07-09T19:51:41.156386,22.49,CWS,OAK,CWS,,,,,,,,,,,,,,,,
